time_jst,ssr,station,squawk,pressure_alt_ft,lat,lon,alt_m,azimuth_rad,tau_ns,replies,sigma_e_m,sigma_n_m,sigma_u_m,track,flight,status,sm_lat,sm_lon,sm_alt_m,sm_sigma_e_m,sm_sigma_n_m,sm_sigma_u_m,vel_e_mps,vel_n_mps,vel_u_mps,turn_rate_dps
2026-06-10T00:00:12.680538400,KX90S,KX90,3650,2400,34.8578757,136.7586283,731.520,4.853729786,38421,19,46.2,20.9,8.8,9,9,ambiguous,34.8578657,136.7586303,724.372,23.3,12.8,4.4,-64.2,-66.2,10.96,-2.89
2026-06-10T00:00:13.065488550,KX90S,KX90,3245,34000,35.2042352,136.3483000,10363.200,5.452871678,394200,20,141.8,153.7,8.8,2,2,ok,35.2037985,136.3478087,10363.150,64.7,63.5,4.4,83.8,-169.0,1.61,0.10
2026-06-10T00:00:13.261650900,KX90S,KX90,4312,39000,36.0235599,135.9825670,11887.200,5.758142927,1008800,3,5534.8,3206.4,8.8,11,11,unconfirmed,,,,,,,,,,
2026-06-10T00:00:13.289674050,KX90S,KX90,4302,39000,36.0525432,136.0461865,11887.200,5.801752594,1008850,10,2359.0,1233.0,8.8,12,12,ok,36.0429530,136.0238301,11888.175,1226.6,664.3,7.3,-175.3,170.8,-5.65,-0.00
2026-06-10T00:00:13.450438700,KX90S,KX90,3650,2400,34.9014414,136.8064031,731.520,6.051934366,38667,3,239.2,72.2,8.8,1,1,ambiguous,34.9018851,136.8079786,732.778,185.9,60.7,7.7,227.1,78.8,9.57,3.83
2026-06-10T00:00:15.021212200,KX90S,KX90,3534,7900,34.5105502,137.3679311,2407.920,2.213185644,426137,19,136.3,177.5,8.8,4,4,ok,34.5108266,137.3682074,2412.483,51.8,66.5,4.4,-114.8,70.8,-4.37,-0.00
2026-06-10T00:00:15.068409200,KX90S,KX90,6250,5300,34.6050365,137.1617305,1615.440,2.286633503,283871,21,101.0,113.2,8.8,5,5,ok,34.6056780,137.1624573,1615.304,45.6,55.2,4.4,-118.4,61.3,-3.98,0.07
2026-06-10T00:00:15.590525450,KX90S,KX90,7016,20000,34.2303779,136.8526506,6096.000,3.099150453,467438,8,1700.0,85.6,8.8,7,7,ok,34.2299519,136.8418479,6079.585,751.7,37.9,4.8,110.7,-154.6,15.49,-0.00
2026-06-10T00:00:16.373699850,KX90S,KX90,6141,32000,34.7758386,136.6038925,9753.600,4.317925876,159204,23,54.9,72.1,8.8,8,8,ok,34.7760294,136.6038519,9753.524,29.5,31.5,4.4,75.7,-196.9,-0.02,-0.03
2026-06-10T00:00:16.681954900,KX90S,KX90,3650,2500,34.8551365,136.7560532,762.000,4.797632211,39929,21,46.4,21.1,8.8,9,9,ambiguous,34.8552602,136.7561378,767.197,24.1,12.3,4.4,-50.0,-77.8,10.86,-2.90
